,n,m,p,method,partition,coverage
0,2000,5100,0.001,leiden-mod,Leiden-MOD,0.8165
1,2000,5100,0.001,leiden-mod,FastEnsemble(Leiden-MOD),0.8165
2,2000,5100,0.001,leiden-mod,ECG,0.8165
3,2000,5100,0.001,leiden-mod,Strict(np=10)+Leiden-MOD,0.8165
4,2000,5100,0.001,leiden-mod,Strict(np=50)+Leiden-MOD,0.8165
5,2000,5635,0.002,leiden-mod,Leiden-MOD,0.9395
6,2000,5635,0.002,leiden-mod,FastEnsemble(Leiden-MOD),0.938
7,2000,5635,0.002,leiden-mod,ECG,0.9395
8,2000,5635,0.002,leiden-mod,Strict(np=10)+Leiden-MOD,0.909
9,2000,5635,0.002,leiden-mod,Strict(np=50)+Leiden-MOD,0.828
10,2000,7023,0.005,leiden-mod,Leiden-MOD,0.996
11,2000,7023,0.005,leiden-mod,FastEnsemble(Leiden-MOD),0.996
12,2000,7023,0.005,leiden-mod,ECG,0.996
13,2000,7023,0.005,leiden-mod,Strict(np=10)+Leiden-MOD,0.996
14,2000,7023,0.005,leiden-mod,Strict(np=50)+Leiden-MOD,0.995
15,2000,9643,0.01,leiden-mod,Leiden-MOD,1.0
16,2000,9643,0.01,leiden-mod,FastEnsemble(Leiden-MOD),1.0
17,2000,9643,0.01,leiden-mod,ECG,1.0
18,2000,9643,0.01,leiden-mod,Strict(np=10)+Leiden-MOD,1.0
19,2000,9643,0.01,leiden-mod,Strict(np=50)+Leiden-MOD,1.0
20,2000,14606,0.02,leiden-mod,Leiden-MOD,1.0
21,2000,14606,0.02,leiden-mod,FastEnsemble(Leiden-MOD),1.0
22,2000,14606,0.02,leiden-mod,ECG,1.0
23,2000,14606,0.02,leiden-mod,Strict(np=10)+Leiden-MOD,1.0
24,2000,14606,0.02,leiden-mod,Strict(np=50)+Leiden-MOD,1.0
25,2000,29710,0.05,leiden-mod,Leiden-MOD,1.0
26,2000,29710,0.05,leiden-mod,FastEnsemble(Leiden-MOD),0.987
27,2000,29710,0.05,leiden-mod,ECG,1.0
28,2000,29710,0.05,leiden-mod,Strict(np=10)+Leiden-MOD,0.546
29,2000,29710,0.05,leiden-mod,Strict(np=50)+Leiden-MOD,0.5
30,2000,54470,0.1,leiden-mod,Leiden-MOD,1.0
31,2000,54470,0.1,leiden-mod,FastEnsemble(Leiden-MOD),0.719
32,2000,54470,0.1,leiden-mod,ECG,1.0
33,2000,54470,0.1,leiden-mod,Strict(np=10)+Leiden-MOD,0.501
34,2000,54470,0.1,leiden-mod,Strict(np=50)+Leiden-MOD,0.5
