,n,mu,partition,acc_measure,acc_value
0,10000,0.1,Leiden-MOD,NMI,0.9655256598814245
1,10000,0.1,Leiden-MOD,ARI,0.9431914851676592
2,10000,0.1,ECG,NMI,0.9978820930688873
3,10000,0.1,ECG,ARI,0.9984069546334653
4,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.9782411880744872
5,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.9639959249655666
6,10000,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.9824364280805734
7,10000,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.9710800656650176
8,10000,0.2,Leiden-MOD,NMI,0.95480135927853
9,10000,0.2,Leiden-MOD,ARI,0.9178652772829943
10,10000,0.2,ECG,NMI,0.9965460020627901
11,10000,0.2,ECG,ARI,0.9960240605925317
12,10000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.9685280697729058
13,10000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.9419625883706542
14,10000,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.9770553284149085
15,10000,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.9558635349793995
16,10000,0.3,Leiden-MOD,NMI,0.9276458739845314
17,10000,0.3,Leiden-MOD,ARI,0.8560875899397672
18,10000,0.3,ECG,NMI,0.9768293296959318
19,10000,0.3,ECG,ARI,0.9658136437484771
20,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.9630921478482881
21,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.9297410741203473
22,10000,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.9673527338668518
23,10000,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.9357526212002768
24,10000,0.4,Leiden-MOD,NMI,0.7582274601438495
25,10000,0.4,Leiden-MOD,ARI,0.4672219591819368
26,10000,0.4,ECG,NMI,0.862184520850602
27,10000,0.4,ECG,ARI,0.7064401841216792
28,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.9158909055054927
29,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.8525946311120116
30,10000,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.9105561556707532
31,10000,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.8461968936546488
32,10000,0.5,Leiden-MOD,NMI,0.3566566063305665
33,10000,0.5,Leiden-MOD,ARI,0.1022224453919078
34,10000,0.5,ECG,NMI,0.4485578855420301
35,10000,0.5,ECG,ARI,0.11848237693906509
36,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.6933147362375933
37,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.28118812554680556
38,10000,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.7017849608885088
39,10000,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.2633722225148715
40,10000,0.6,Leiden-MOD,NMI,0.12632644572051982
41,10000,0.6,Leiden-MOD,ARI,0.02126051870422207
42,10000,0.6,ECG,NMI,0.20491576586078836
43,10000,0.6,ECG,ARI,0.042260396746819785
44,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.6423686704986441
45,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.08637849313996669
46,10000,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.6621360350472472
47,10000,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.06620807206421862
48,10000,0.7,Leiden-MOD,NMI,0.058280266161459496
49,10000,0.7,Leiden-MOD,ARI,0.003996828971144756
50,10000,0.7,ECG,NMI,0.09819153979593737
51,10000,0.7,ECG,ARI,0.013993139168089546
52,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.6298766299303322
53,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.016446378644880154
54,10000,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.6529366597756348
55,10000,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.005464605364025839
56,10000,0.8,Leiden-MOD,NMI,0.0364139472521099
57,10000,0.8,Leiden-MOD,ARI,0.0006337210410045312
58,10000,0.8,ECG,NMI,0.08906403767203995
59,10000,0.8,ECG,ARI,0.002195589228768736
60,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.6434190636437079
61,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.0002589308991034359
62,10000,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.6545100604866015
63,10000,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,2.5954088458234934e-05
64,10000,0.9,Leiden-MOD,NMI,0.03102256997091781
65,10000,0.9,Leiden-MOD,ARI,0.00023680536908764145
66,10000,0.9,ECG,NMI,0.09250758447868583
67,10000,0.9,ECG,ARI,3.724488374007068e-05
68,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.642672717135705
69,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,1.1961089066911227e-05
70,10000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.6545948274690556
71,10000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,1.1077646005754486e-05
